routine;undefined;condition;routine_tims_ms
Write data;-;default;5741.585
Write data;-;default;5753.788
Write data;-;default;5764.047
Write data;-;default;5775.236
Write data;-;default;5794.104
Write data;-;default;5808.897
Write data;-;default;5819.961
Write data;-;default;5861.729
Write data;-;default;5897.348
Write data;-;default;5938.663
Write data;-;default;5974.984
Write data;-;default;6016.572
Write data;-;default;6051.723
Write data;-;default;6094.484
Write data;-;default;6129.698
Write data;-;default;6172.882
Write data;-;default;6208.424
Write data;-;default;6249.622
Write data;-;default;6285.785
Write data;-;default;6327.724
Write data;-;default;6362.777
Write data;-;default;6405.5
Write data;-;default;6440.718
Write data;-;default;6483.761
Write data;-;default;6519.558
Write data;-;default;6560.679
Write data;-;default;6596.508
Write data;-;default;6638.792
Write data;-;default;6675.145
Write data;-;default;6716.486
Write data;-;default;6751.688
Write data;-;default;6794.795
Write data;-;default;6829.683
Write data;-;default;6872.685
